Number 	Class 	Size 	NVar 	Length 	Unusualness 	Gain	Sensitivity 	SupportDif 	FConfidence 	GrowthRate 	TEFisher 	Hellinger 	TPr 	FPr
000   	000	-	2,000000	0,001272	0,597604	0,242006	0,233720	0,195207	0,666667	6,068689	0,000000	0,921336	0,233720	0,038512
001   	000	-	2,000000	0,000686	0,661185	0,405448	0,403657	0,322370	0,433233	4,965789	0,000000	0,925799	0,403657	0,081288
002   	000	-	2,000000	0,001479	0,592345	0,226881	0,213649	0,184691	0,708580	7,377923	0,000000	0,937162	0,213649	0,028958
003   	000	-	2,000000	0,001592	0,588757	0,217474	0,202944	0,177514	0,724522	7,980501	0,000000	0,942385	0,202944	0,025430
004   	001	-	2,000000	0,000157	0,654466	0,131597	0,780832	0,308932	0,802870	1,654655	0,000000	0,884541	0,780832	0,471900
005   	001	-	2,000000	0,000117	0,547661	0,130659	0,972218	0,095323	0,775754	1,108705	0,000000	1,146780	0,972218	0,876896
006   	001	-	2,000000	0,000117	0,507059	0,118866	0,948552	0,014119	0,756297	1,015109	0,012015	1,205615	0,948552	0,934434
007   	001	-	1,000000	0,000346	0,611742	0,072385	0,374688	0,223483	0,882618	2,478023	0,000000	0,811290	0,374688	0,151204
008   	001	-	1,000000	0,000162	0,388258	0,054305	0,625312	0,223483	0,690921	0,736705	0,000000	0,953319	0,625312	0,848796
---	---	9	1,777778	0,000659	0,572120	0,177736	0,528397	0,528397	0,715718	0,888889	1,000000	0,969803	0,528397	0,384157
